order,name,internal_var,namelist,group,group_cn,dtype,default,size,description,usage,condition,source,line,source_use_count,source_use_files,source_usage_summary,source_use_examples
202,vzero,vzero,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：若干解析初始化的环向/轴向速度标度；basicJ 用作核心平坦转动值，`itaylor=-1` 直接作为均匀环向速度。gfile/GS 的文件旋转由 Input 组控制。仿星器：VMEC/外场路径不从本参数建立旋转。,,unstructured/input.f90,574,8,unstructured/init_rotating_cylinder.f90(4); unstructured/init_basicj.f90(2); unstructured/init_conds.f90(1); unstructured/init_cyl.f90(1),"源码引用 8 处；主要在 `init_rotating_cylinder.f90` 4处, `init_basicj.f90` 2处, `init_conds.f90` 1处, `init_cyl.f90` 1处。","unstructured/init_basicj.f90:59: vz = vzero
unstructured/init_basicj.f90:61: vz = vzero*exp(-(r - basicj_voff)**2/(basicj_vdelt*ln)**2) &
unstructured/init_conds.f90:601: vz_field(0) = vzero
unstructured/init_cyl.f90:230: temp79a = vzero
unstructured/init_rotating_cylinder.f90:55: vz0_l(1) = vzero*x**2
unstructured/init_rotating_cylinder.f90:56: vz0_l(2) = 2.*vzero*x
unstructured/init_rotating_cylinder.f90:58: vz0_l(4) = 2.*vzero
unstructured/init_rotating_cylinder.f90:74: den0_l(1) = 2.*(bzero/vzero)**2"
203,phizero,phizero,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：FRS、FTZ、eigen 等测试初始化中速度流函数 U 的扰动幅值；常规 gfile/GS 不使用。仿星器：`itaylor=40/41` 不使用。,,unstructured/input.f90,575,3,unstructured/init_eigen.f90(1); unstructured/init_frs.f90(1); unstructured/init_ftz.f90(1),"源码引用 3 处；主要在 `init_eigen.f90` 1处, `init_frs.f90` 1处, `init_ftz.f90` 1处。","unstructured/init_eigen.f90:88: u1_l = phizero*vmask
unstructured/init_frs.f90:216: u1_l = phizero*vmask
unstructured/init_ftz.f90:120: u1_l = phizero*vmask"
204,verzero,verzero,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克与仿星器：在 `init_perturbations` 中向 plasma zone 的扰动速度势加入 `R*verzero`，用于给定初始竖直速度；它是扰动层，不会改变读入平衡或 LCFS。,,unstructured/input.f90,576,1,unstructured/init_common.f90(1),源码引用 1 处；主要在 `init_common.f90` 1处。,"unstructured/init_common.f90:183: ph179(:,OP_1) = ph179(:,OP_1) + r_79*verzero"
205,v0_cyl,v0_cyl,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：只在 fixed-q/cylindrical 测试剖面中作为中心轴向速度常数项；gfile/GS 不使用。仿星器：`itaylor=40/41` 不使用。,,unstructured/input.f90,577,1,unstructured/init_basicq.f90(1),源码引用 1 处；主要在 `init_basicq.f90` 1处。,unstructured/init_basicq.f90:42: v0_qp = v0_cyl
206,v1_cyl,v1_cyl,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：只在 fixed-q/cylindrical 测试剖面中作为随归一化磁通变化的速度幅值，形式为 `v0_cyl+v1_cyl*psi^beta`。仿星器：`itaylor=40/41` 不使用。,,unstructured/input.f90,578,1,unstructured/init_basicq.f90(1),源码引用 1 处；主要在 `init_basicq.f90` 1处。,unstructured/init_basicq.f90:43: v1_qp = v1_cyl
207,idevice,idevice,&inputnl,Equilibrium,平衡与初始条件,integer,0,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：只服务 GS/PF 线圈场。当前源码实际实现 -1 读取 `coil.dat/current.dat`，0 使用 generic dipole；其它值进入无 PF 线圈的默认分支。仿星器：VMEC/三维场初始化不使用该设备选择。,,unstructured/input.f90,579,5,unstructured/gradshafranov.f90(4); unstructured/init_eqdsk.f90(1),"源码引用 5 处；主要在 `gradshafranov.f90` 4处, `init_eqdsk.f90` 1处。","unstructured/gradshafranov.f90:267: select case(idevice)
unstructured/gradshafranov.f90:338: if(idevice .eq. 0) then
unstructured/gradshafranov.f90:1232: if(idevice .eq. -1) then
unstructured/gradshafranov.f90:3413: if(idevice .eq. 0 .and. ifixedb .eq. 0 .and. feedfac.ne.0.) then
unstructured/init_eqdsk.f90:80: if(iread_eqdsk.eq.3 .or. idevice.eq.-1 .or. imulti_region.eq.1) then"
208,iwave,iwave,&inputnl,Equilibrium,平衡与初始条件,integer,0,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克与仿星器生产平衡均不使用；只为 wave 测试初始化选择波支，具体可用取值随二维/三维测试例程而异。,,unstructured/input.f90,580,16,unstructured/init_3dwave.f90(13); unstructured/init_wave.f90(3),"源码引用 16 处；主要在 `init_3dwave.f90` 13处, `init_wave.f90` 3处。","unstructured/init_3dwave.f90:35: select case(iwave)
unstructured/init_3dwave.f90:41: print *, 'Error: iwave must be one of the following:'
unstructured/init_3dwave.f90:42: print *, ' iwave = 0: Shear Alfven wave'
unstructured/init_3dwave.f90:48: select case(iwave)
unstructured/init_3dwave.f90:67: print *, 'Error: iwave must be one of the following:'
unstructured/init_3dwave.f90:68: print *, ' iwave = 0: Shear Alfven wave'
unstructured/init_3dwave.f90:69: print *, ' iwave = 1: Fast wave'
unstructured/init_3dwave.f90:80: select case(iwave)
unstructured/init_3dwave.f90:101: print *, 'Error: iwave must be one of the following:'
unstructured/init_3dwave.f90:102: print *, ' iwave = 0: Shear Alfven wave'"
209,eps,eps,&inputnl,Equilibrium,平衡与初始条件,real,0.01,1,Magnitude of initial perturbations*,"托卡马克：初始随机/确定性扰动幅度；`itor=0,irmp=2` 时还作为解析 m/n 真空场幅度。仿星器：固定 VMEC 和 total-field 路径也可用它给 plasma zone 添加初始流扰动，但不改变 wout/外场基态。",,unstructured/input.f90,581,84,unstructured/init_conds.f90(36); unstructured/init_3dwave.f90(12); unstructured/init_gem.f90(6); unstructured/init_gmode.f90(6); unstructured/init_strauss.f90(6); unstructured/init_wave.f90(6); unstructured/init_common.f90(5); unstructured/rmp.f90(3),"源码引用 84 处；主要在 `init_conds.f90` 36处, `init_3dwave.f90` 12处, `init_gem.f90` 6处, `init_gmode.f90` 6处。","unstructured/coils.f90:262: x=1.-rksq + eps
unstructured/init_3ddiffusion.f90:83: ex = eps*exp(-(rzero*phi/ln)**2-(x/ln)**2-(z/ln)**2)
unstructured/init_3dwave.f90:168: val(1) = eps*sin(kx*x)*sin(kz*z)*cos(kphi*phi)
unstructured/init_3dwave.f90:169: val(2) = eps*cos(kx*x)*sin(kz*z)*cos(kphi*phi)*kx
unstructured/init_3dwave.f90:170: val(3) = eps*sin(kx*x)*cos(kz*z)*cos(kphi*phi)*kz
unstructured/init_3dwave.f90:171: val(4) =-eps*sin(kx*x)*sin(kz*z)*cos(kphi*phi)*kx**2
unstructured/init_3dwave.f90:172: val(5) = eps*cos(kx*x)*cos(kz*z)*cos(kphi*phi)*kx*kz
unstructured/init_3dwave.f90:173: val(6) =-eps*sin(kx*x)*sin(kz*z)*cos(kphi*phi)*kz**2
unstructured/init_3dwave.f90:175: val(7) =-eps*sin(kx*x)*sin(kz*z)*sin(kphi*phi)*kphi
unstructured/init_3dwave.f90:176: val(8) =-eps*cos(kx*x)*sin(kz*z)*sin(kphi*phi)*kphi*kx"
210,maxn,maxn,&inputnl,Equilibrium,平衡与初始条件,integer,200,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克与仿星器：`icsym=0/1/2` 随机初始扰动的模循环上限，值越大包含的平面波越多、初始化代价越高；不控制 M3D-C1 实际环向网格分辨率。,,unstructured/input.f90,583,10,unstructured/init_common.f90(6); unstructured/init_conds.f90(4),"源码引用 10 处；主要在 `init_common.f90` 6处, `init_conds.f90` 4处。","unstructured/init_common.f90:80: do i=1,maxn
unstructured/init_common.f90:82: do j=1, maxn
unstructured/init_common.f90:99: do i=1,maxn
unstructured/init_common.f90:101: do j=1, maxn/2
unstructured/init_common.f90:112: do i=1,maxn
unstructured/init_common.f90:114: do j=1, maxn/2
unstructured/init_conds.f90:148: do i=1,maxn
unstructured/init_conds.f90:153: do j=1, maxn
unstructured/init_conds.f90:167: do j=1, maxn/2
unstructured/init_conds.f90:177: do j=1, maxn/2"
211,irmp,irmp,&inputnl,Equilibrium,平衡与初始条件,integer,0,1,1: Apply nonaxisym. fields throughout plasma； 2: Apply mpol/ntor vacuum fields (itor=0 only),"托卡马克：1 读取/计算 RMP 与 error field 并投影到整个计算域；2 仅 `itor=0` 可用，在整个域评价解析 mpol/ntor 真空场。仿星器：`itaylor=41,type_ext_field=1,extsubtract=0` 已装入 total field 后会跳过第二次 RMP；固定 VMEC 或 subtraction 路径可另行调用外场处理。",,unstructured/input.f90,584,10,unstructured/rmp.f90(4); unstructured/input.f90(2); unstructured/init_basicj.f90(1); unstructured/init_conds.f90(1); unstructured/init_cyl.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 10 处；主要在 `rmp.f90` 4处, `input.f90` 2处, `init_basicj.f90` 1处, `init_conds.f90` 1处。","unstructured/init_basicj.f90:355: if(irmp.ne.2) call init_perturbations
unstructured/init_conds.f90:685: if(irmp.ge.1 .or. iread_ext_field.ge.1 .or. &
unstructured/init_cyl.f90:321: if(irmp.ne.2) call init_perturbations
unstructured/input.f90:588: ""Additional exponential decay of RMP field from r=1 for irmp=2"", eq_grp)
unstructured/input.f90:1714: if(irmp.eq.0 .and. iread_ext_field.eq.0 &
unstructured/restart_hdf5.f90:350: if(irmp.ge.1 .or. iread_ext_field.ge.1 .or. &
unstructured/rmp.f90:231: select case(irmp)
unstructured/rmp.f90:275: if(myrank.eq.0) print *, 'ERROR: irmp==2 only implemented for itor=0'
unstructured/rmp.f90:316: if(myrank.eq.0) print *, 'Error: Option not recognized: irmp = ', irmp
unstructured/rmp.f90:447: if(irmp.eq.1) then"
212,rmp_atten,rmp_atten,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,Additional exponential decay of RMP field from r=1 for irmp=2,"托卡马克与仿星器环形生产路径不使用；只在 `itor=0,irmp=2` 中控制解析真空扰动从 r=1 起的指数因子。0 表示不加该衰减/增长因子。",,unstructured/input.f90,587,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:294: if(rmp_atten.ne.0) then
unstructured/rmp.f90:295: atten = exp((r-1.)/rmp_atten)"
213,tf_tilt,tf_tilt,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,Angle of TF from vertical (in degrees),托卡马克：TF 线圈相对竖直方向的小倾斜角，单位度；源码据此构造非轴对称误差场并在基态后加入，不移动 mesh。仿星器：不是 VMEC 场线圈几何参数，通常保持 0。,,unstructured/input.f90,589,6,unstructured/rmp.f90(3); unstructured/init_conds.f90(1); unstructured/input.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 6 处；主要在 `rmp.f90` 3处, `init_conds.f90` 1处, `input.f90` 1处, `restart_hdf5.f90` 1处。","unstructured/init_conds.f90:686: tf_tilt.ne.0. .or. tf_shift.ne.0. .or. &
unstructured/input.f90:1715: .and. tf_tilt.eq.0. .and. tf_shift.eq.0. &
unstructured/restart_hdf5.f90:351: tf_tilt.ne.0. .or. tf_shift.ne.0. .or. &
unstructured/rmp.f90:686: if(tf_tilt.ne.0. .or. tf_shift.ne.0.) call tf_shift_tilt
unstructured/rmp.f90:732: tilt_sn = tf_tilt*deg2rad*exp(-(0,1)*tf_tilt_angle*deg2rad )*(0,-1)
unstructured/rmp.f90:735: tilt_sn = tf_tilt*deg2rad*sin(phi_79 - tf_tilt_angle*deg2rad)"
214,tf_tilt_angle,tf_tilt_angle,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,Axis of rotation for TF tilt (in degrees),托卡马克：`tf_tilt` 的旋转轴环向方位，单位度，只在 `tf_tilt!=0` 时生效。仿星器：通常不使用。,,unstructured/input.f90,591,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:732: tilt_sn = tf_tilt*deg2rad*exp(-(0,1)*tf_tilt_angle*deg2rad )*(0,-1)
unstructured/rmp.f90:735: tilt_sn = tf_tilt*deg2rad*sin(phi_79 - tf_tilt_angle*deg2rad)"
215,tf_shift,tf_shift,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,Horizontal shift of TF coil,托卡马克：TF 线圈水平平移幅度，用解析式生成误差场，不改变 mesh 或 GS 线圈坐标。仿星器：通常不使用。,,unstructured/input.f90,593,6,unstructured/rmp.f90(3); unstructured/init_conds.f90(1); unstructured/input.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 6 处；主要在 `rmp.f90` 3处, `init_conds.f90` 1处, `input.f90` 1处, `restart_hdf5.f90` 1处。","unstructured/init_conds.f90:686: tf_tilt.ne.0. .or. tf_shift.ne.0. .or. &
unstructured/input.f90:1715: .and. tf_tilt.eq.0. .and. tf_shift.eq.0. &
unstructured/restart_hdf5.f90:351: tf_tilt.ne.0. .or. tf_shift.ne.0. .or. &
unstructured/rmp.f90:686: if(tf_tilt.ne.0. .or. tf_shift.ne.0.) call tf_shift_tilt
unstructured/rmp.f90:733: shift_co = tf_shift*exp(-(0,1)*tf_shift_angle*deg2rad)
unstructured/rmp.f90:736: shift_co = tf_shift*cos(phi_79 - tf_shift_angle*deg2rad)"
216,tf_shift_angle,tf_shift_angle,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,Direction of TF shift (in degrees),托卡马克：`tf_shift` 的平移方向方位角，单位度，只在 `tf_shift!=0` 时生效。仿星器：通常不使用。,,unstructured/input.f90,595,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:733: shift_co = tf_shift*exp(-(0,1)*tf_shift_angle*deg2rad)
unstructured/rmp.f90:736: shift_co = tf_shift*cos(phi_79 - tf_shift_angle*deg2rad)"
217,pf_tilt,pf_tilt,&inputnl,Equilibrium,平衡与初始条件,real array,0.,2000,Angle of PF from vertical (in degrees),托卡马克：PF 线圈逐线圈倾斜角数组，单位度；只有已经由 GS/`idevice=-1` 装载到 PF 线圈表的线圈才会产生误差场。仿星器：VMEC/外场路径没有 PF 线圈表，通常不使用。 数组参数在 C1input 中使用 Fortran 一基索引，例如 `name(1)=...`；未赋值元素保持默认值。,,unstructured/input.f90,597,9,unstructured/rmp.f90(6); unstructured/init_conds.f90(1); unstructured/input.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 9 处；主要在 `rmp.f90` 6处, `init_conds.f90` 1处, `input.f90` 1处, `restart_hdf5.f90` 1处。","unstructured/init_conds.f90:687: any(pf_tilt.ne.0.) .or. any(pf_shift.ne.0.)) then
unstructured/input.f90:1716: .and. all(pf_tilt.eq.0.) .and. all(pf_shift.eq.0.)) then
unstructured/restart_hdf5.f90:352: any(pf_tilt.ne.0.) .or. any(pf_shift.ne.0.)) then
unstructured/rmp.f90:345: if(pf_tilt(j).ne.0. .or. pf_shift(j).ne.0.) then
unstructured/rmp.f90:348: tilt_co = pf_tilt(j)*deg2rad* &
unstructured/rmp.f90:350: tilt_sn = pf_tilt(j)*deg2rad* &
unstructured/rmp.f90:357: tilt_co = pf_tilt(j)*deg2rad* &
unstructured/rmp.f90:359: tilt_sn = pf_tilt(j)*deg2rad* &
unstructured/rmp.f90:451: if((any(pf_tilt.ne.0.) .or. any(pf_shift.ne.0.)) &"
218,pf_tilt_angle,pf_tilt_angle,&inputnl,Equilibrium,平衡与初始条件,real array,0.,2000,Axis of rotation for PF tilt (in degrees),托卡马克：每个 `pf_tilt(i)` 的旋转轴方位角数组，单位度，索引对应线圈组标签。仿星器：通常不使用。 数组参数在 C1input 中使用 Fortran 一基索引，例如 `name(1)=...`；未赋值元素保持默认值。,,unstructured/input.f90,599,4,unstructured/rmp.f90(4),源码引用 4 处；主要在 `rmp.f90` 4处。,"unstructured/rmp.f90:349: exp(-(0,1)*pf_tilt_angle(j)*deg2rad )
unstructured/rmp.f90:351: exp(-(0,1)*pf_tilt_angle(j)*deg2rad )*(0,-1)
unstructured/rmp.f90:358: cos(phi - pf_tilt_angle(j)*deg2rad)
unstructured/rmp.f90:360: sin(phi - pf_tilt_angle(j)*deg2rad)"
219,pf_shift,pf_shift,&inputnl,Equilibrium,平衡与初始条件,real array,0.,2000,Horizontal shift of PF coil,托卡马克：PF 线圈逐线圈水平平移数组；基于已加载线圈场导数构造非轴对称误差场，不修改轴对称 GS 线圈位置。仿星器：通常不使用。 数组参数在 C1input 中使用 Fortran 一基索引，例如 `name(1)=...`；未赋值元素保持默认值。,,unstructured/input.f90,601,9,unstructured/rmp.f90(6); unstructured/init_conds.f90(1); unstructured/input.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 9 处；主要在 `rmp.f90` 6处, `init_conds.f90` 1处, `input.f90` 1处, `restart_hdf5.f90` 1处。","unstructured/init_conds.f90:687: any(pf_tilt.ne.0.) .or. any(pf_shift.ne.0.)) then
unstructured/input.f90:1716: .and. all(pf_tilt.eq.0.) .and. all(pf_shift.eq.0.)) then
unstructured/restart_hdf5.f90:352: any(pf_tilt.ne.0.) .or. any(pf_shift.ne.0.)) then
unstructured/rmp.f90:345: if(pf_tilt(j).ne.0. .or. pf_shift(j).ne.0.) then
unstructured/rmp.f90:352: shift_co = pf_shift(j)* &
unstructured/rmp.f90:354: shift_sn = pf_shift(j)* &
unstructured/rmp.f90:361: shift_co = pf_shift(j)* &
unstructured/rmp.f90:363: shift_sn = pf_shift(j)* &
unstructured/rmp.f90:451: if((any(pf_tilt.ne.0.) .or. any(pf_shift.ne.0.)) &"
220,pf_shift_angle,pf_shift_angle,&inputnl,Equilibrium,平衡与初始条件,real array,0.,2000,Direction of PF shift (in degrees),托卡马克：每个 `pf_shift(i)` 的平移方向方位角数组，单位度。仿星器：通常不使用。 数组参数在 C1input 中使用 Fortran 一基索引，例如 `name(1)=...`；未赋值元素保持默认值。,,unstructured/input.f90,603,4,unstructured/rmp.f90(4),源码引用 4 处；主要在 `rmp.f90` 4处。,"unstructured/rmp.f90:353: exp(-(0,1)*pf_shift_angle(j)*deg2rad)
unstructured/rmp.f90:355: exp(-(0,1)*pf_shift_angle(j)*deg2rad)*(0,-1)
unstructured/rmp.f90:362: cos(phi - pf_shift_angle(j)*deg2rad)
unstructured/rmp.f90:364: sin(phi - pf_shift_angle(j)*deg2rad)"
221,iread_ext_field,iread_ext_field,&inputnl,Equilibrium,平衡与初始条件,integer,0,1,1: Read external field,托卡马克：对 `type_ext_field<=0` 表示要读的 error-field 数据组数；1 读 `error_field`，大于 1 读 `error_field01...`。仿星器：`itaylor=41` 必须非零，当前读取器实际只装载索引 `iread_ext_field`，常规用法应取 1。,,unstructured/input.f90,606,20,unstructured/rmp.f90(16); unstructured/init_conds.f90(2); unstructured/input.f90(1); unstructured/restart_hdf5.f90(1),"源码引用 20 处；主要在 `rmp.f90` 16处, `init_conds.f90` 2处, `input.f90` 1处, `restart_hdf5.f90` 1处。","unstructured/init_conds.f90:650: if(iread_ext_field.eq.0) then
unstructured/init_conds.f90:685: if(irmp.ge.1 .or. iread_ext_field.ge.1 .or. &
unstructured/input.f90:1714: if(irmp.eq.0 .and. iread_ext_field.eq.0 &
unstructured/restart_hdf5.f90:350: if(irmp.ge.1 .or. iread_ext_field.ge.1 .or. &
unstructured/rmp.f90:38: if(iread_ext_field.ge.1) allocate(sf(iread_ext_field))
unstructured/rmp.f90:39: do l=1, iread_ext_field
unstructured/rmp.f90:40: if(iread_ext_field.eq.1) then
unstructured/rmp.f90:63: allocate(sf(iread_ext_field))
unstructured/rmp.f90:97: allocate(sf(iread_ext_field))
unstructured/rmp.f90:143: call load_fieldlines_field(sf(iread_ext_field), field_name,ierr)"
222,isample_ext_field,isample_ext_field,&inputnl,Equilibrium,平衡与初始条件,integer,1,1,Factor to down-sample external field data toroidally,托卡马克：Schaffer error-field 数据的环向降采样因子。仿星器：仅场文件回退到 Schaffer 格式时使用；FIELDLINES/MGRID/HINT/MIPS 专用读取器不使用该因子。,,unstructured/input.f90,608,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:45: call load_schaffer_field(sf(l),ext_field_name,isample_ext_field, &
unstructured/rmp.f90:154: call load_schaffer_field(sf(iread_ext_field),field_name,isample_ext_field, &"
223,isample_ext_field_pol,isample_ext_field_pol,&inputnl,Equilibrium,平衡与初始条件,integer,1,1,Factor to down-sample external field data poloidally,托卡马克：Schaffer error-field 数据的极向降采样因子。仿星器：仅 Schaffer 回退格式使用，专用三维场读取器不使用。,,unstructured/input.f90,610,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:46: isample_ext_field_pol,ierr)
unstructured/rmp.f90:155: isample_ext_field_pol,ierr)"
224,scale_ext_field,scale_ext_field,&inputnl,Equilibrium,平衡与初始条件,real,1.,1,Factor to scale external field,托卡马克与仿星器：投影已读场数据时统一乘的幅值因子；会作用于该读取器装入的 `file_total_field/file_ext_field/error_field`，但不缩放 gfile 或 `itaylor=40` 直接读取的 wout 基态，也不重新求解平衡。,,unstructured/input.f90,612,6,unstructured/rmp.f90(6),源码引用 6 处；主要在 `rmp.f90` 6处。,"unstructured/rmp.f90:391: br = br + (1e4/b0_norm)*fr *scale_ext_field*sfac
unstructured/rmp.f90:392: bphi = bphi + (1e4/b0_norm)*fphi*scale_ext_field*sfac
unstructured/rmp.f90:393: bz = bz + (1e4/b0_norm)*fz *scale_ext_field*sfac
unstructured/rmp.f90:398: br = br + (1e4/b0_norm)*gr *scale_ext_field
unstructured/rmp.f90:399: bphi = bphi + (1e4/b0_norm)*gphi*scale_ext_field
unstructured/rmp.f90:400: bz = bz + (1e4/b0_norm)*gz *scale_ext_field"
225,shift_ext_field,shift_ext_field,&inputnl,Equilibrium,平衡与初始条件,real array,0.,8,Toroidal shift (in deg) of external fields,托卡马克与仿星器：各外场数据组的环向相位平移数组，单位度；3D 中通过改变取样角实现，complex 中转化为所选 `ntor` 的相位因子。 数组参数在 C1input 中使用 Fortran 一基索引，例如 `name(1)=...`；未赋值元素保持默认值。,,unstructured/input.f90,614,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:389: sfac = exp(-cmplx(0.,1.)*ntor*shift_ext_field(i)*pi/180.)
unstructured/rmp.f90:396: x,phi-shift_ext_field(i)*pi/180.,z,&"
226,type_ext_field,type_ext_field,&inputnl,Equilibrium,平衡与初始条件,integer,-1,1,type of external field file,托卡马克：<=0 走 RMP/error-field；3 可从 `external_j` 电流数据求外场。仿星器：1 在 `itaylor=41` 中直接把 `file_total_field` 作为 total field；2 要求 `extsubtract=1`，先装 total field、再读 `file_ext_field` 并保存/扣除外场。 源码用法：`<=0` 用 tokamak RMP/error-field 分支，`=1/2` 用 stellarator/free-boundary 场文件，`=3` 从电流计算外场。,,unstructured/input.f90,616,11,unstructured/rmp.f90(10); unstructured/init_conds.f90(1),"源码引用 11 处；主要在 `rmp.f90` 10处, `init_conds.f90` 1处。","unstructured/init_conds.f90:655: if(type_ext_field.ge.1) &
unstructured/rmp.f90:37: if(type_ext_field.le.0) then ! RMP field
unstructured/rmp.f90:62: else if(type_ext_field.eq.2) then ! Stellarator/3D vacuum field
unstructured/rmp.f90:71: else if(type_ext_field.eq.3) then
unstructured/rmp.f90:77: 'ERROR: RMP fields require type_ext_field < 0 or =2.'
unstructured/rmp.f90:99: if(type_ext_field.eq.1) then ! Free boundary stellarator (no field subtraction)
unstructured/rmp.f90:105: else if(type_ext_field.eq.2 .and. extsubtract.eq.1) then ! With field substraction
unstructured/rmp.f90:115: else if(type_ext_field.eq.2 .and. extsubtract.eq.0) then
unstructured/rmp.f90:117: 'ERROR: type_ext_field=2 requires extsubtract=1 when itaylor=41'
unstructured/rmp.f90:635: if (type_ext_field.ge.1 .and. (itaylor.eq.40 .or. itaylor.eq.41)) then"
227,file_ext_field,file_ext_field,&inputnl,Equilibrium,平衡与初始条件,character(len=256),error_field,1,name of external field file,托卡马克：`type_ext_field<=0` 时此名称被忽略，文件名固定为 `error_field` 或 `error_fieldNN`。仿星器：`type_ext_field=2` 的真空/外部场文件；文件名前缀选择 FIELDLINES、MIPS、HINT、MGRID 读取器，其它名称按 Schaffer 格式。 字符串值可写成 `name = value` 或带引号形式；解析器会去掉首尾引号。,,unstructured/input.f90,618,1,unstructured/rmp.f90(1),源码引用 1 处；主要在 `rmp.f90` 1处。,unstructured/rmp.f90:64: call read_stellarator_field(file_ext_field)
228,file_total_field,file_total_field,&inputnl,Equilibrium,平衡与初始条件,character(len=256),total_field,1,name of total field file for ST,"托卡马克：常规 RMP/GS 不使用。仿星器：`itaylor=41,type_ext_field=1/2` 的总磁场文件；1 直接作为基态，2 与 `file_ext_field` 组成 total-minus-external 的演化场分解。 字符串值可写成 `name = value` 或带引号形式；解析器会去掉首尾引号。",,unstructured/input.f90,620,2,unstructured/rmp.f90(2),源码引用 2 处；主要在 `rmp.f90` 2处。,"unstructured/rmp.f90:101: call read_stellarator_field(file_total_field)
unstructured/rmp.f90:109: call read_stellarator_field(file_total_field)"
229,beta,beta,&inputnl,Equilibrium,平衡与初始条件,real,0.,1,源码 `add_var_*` 注册说明为空；请结合所在逻辑组和下方源码使用位置判断。,托卡马克：仅 tilting/fixed-q 等模型平衡或测试问题中的无量纲形状/速度幂参数，不是由 gfile 得到的等离子体 beta，也不会覆盖压力。仿星器：`itaylor=40/41` 不使用。,,unstructured/input.f90,622,58,unstructured/mackenbach_profiles.f90(23); m3dc1_scorec/src/ReducedQuinticImplicit.cc(10); unstructured/metricterms_new.f90(8); unstructured/metricterms_new_gpu.f90(8); unstructured/init_tilt.f90(3); unstructured/scorec_mesh.f90(3); unstructured/nintegrate_mod.f90(2); unstructured/init_basicq.f90(1),"源码引用 58 处；主要在 `mackenbach_profiles.f90` 23处, `ReducedQuinticImplicit.cc` 10处, `metricterms_new.f90` 8处, `metricterms_new_gpu.f90` 8处。","unstructured/init_basicq.f90:44: beta_qp = beta
unstructured/init_tilt.f90:107: kb = k**2*(1.-beta)
unstructured/init_tilt.f90:125: kb = k**2*beta*pefac
unstructured/init_tilt.f90:133: kb = k**2*beta
unstructured/mackenbach_profiles.f90:68: real function rho0(gamma,beta,drho,t_end) result(y)
unstructured/mackenbach_profiles.f90:76: g_bucket(2) = -(gamma + gamma*beta*exheat(0.0))/(2*k(0.0))*drho
unstructured/mackenbach_profiles.f90:86: gamma*beta*exheat(rho-drho) + dk(rho-drho)*g_bucket(1) + &
unstructured/mackenbach_profiles.f90:96: real function gamma_final(beta,drho,t_end) result(y)
unstructured/mackenbach_profiles.f90:102: rhoarr(1) = rho0(gamma0(1),beta,drho,t_end)
unstructured/mackenbach_profiles.f90:103: rhoarr(2) = rho0(gamma0(2),beta,drho,t_end)"
