参数名,数据类型,默认值,含义
rzero,real,-1.,托卡马克：参考大半径，进入 F=R Bphi、旋转平衡指数和归一化；读入默认 -1，校验时环形几何改取 `xzero`，gfile 又会用 `rmaxis` 覆盖。仿星器：VMEC/外场基态不由它定义；`rzero=-1` 时，toroidal 几何取 `xzero`，其它几何取 1；若最终 `rzero<=0` 只给 warning
psifrac,real,1.,Fraction of poloidal flux from psimin to psibound used for the mesh；托卡马克：把实际归一化磁通乘以该因子后再查询所有剖面，即 `psi_profile=(psi-psiaxis)/(psiLCFS-psiaxis)*psifrac`。小于 1 会让 LCFS 只用到剖面表的内侧部分，并非裁剪 mesh。仿星器：不使用 GS 剖面坐标
libetap,real,1.2,托卡马克：只在 `idevice=0` generic 自由边界初值中，作为 Shafranov 竖直场估算的 `li/2+beta_p`；不会由一般 `idevice=-1` 线圈求解自动满足。仿星器：不使用
p0,real,0.01,托卡马克：内置解析压力剖面的轴上总压力幅值，也是密度幂律归一化和电子/离子压力分配的参考；gfile 或 `profile_p` 建立完整剖面后，其形状不再由本值控制，但直接 gfile 投影仍以它归一化解析密度。仿星器：GS 不使用；其它解析测试平衡可能复用该全局量
pi0,real,0.005,托卡马克：轴上离子压力参考值；校验阶段以 `(p0-pi0)/p0` 计算电子压力份额 `pefac`，压力外延没有 Te 文件时也用它。它不直接进入 GS 磁通源。仿星器：VMEC 初始化会从总压和 `pefac` 重设该量，GS 不使用
p1,real,0.,托卡马克：内置解析压力关于归一化磁通的轴上一次形状系数；实际 `p'(0)=p0*p1`，并参与 q0 约束系数。完整 p/F 剖面约束时不控制压力。仿星器：不使用 GS
p2,real,0.,托卡马克：内置解析压力的轴上二次形状系数；实际 `p''(0)=2*p0*p2`，并参与轴上电流梯度约束。完整 p/F 剖面约束时不生效。仿星器：不使用 GS
pedge,real,0.,Pressure outside separatrix (ignore if <= 0)；托卡马克：GS 路径中大于 0 时平移整个压力样条，使最外剖面点等于该总压力；直接 gfile 且不求 GS 时，非负值则作为常数直接加到投影压力。它不是给真空 zone 单独增加一条压力方程；`tiedge` 可随后覆盖，`tedge` 也可据密度推算。仿星器：不通过 GS 使用
tedge,real,0.,Electron temperature outside separatrix (ignore if <= 0)；托卡马克：大于 0 时设置最外电子温度；不能同时读取 Te。程序会平移 Te，并在 `pedge<=0` 时试图相应平移总压力以保持离子温度，当前实现该压力修正含明显索引/数值问题，使用前应验证。仿星器：不通过 GS 使用
tiedge,real,0.,Outermost ion temperature (ignore if <= 0)；托卡马克：大于 0 时按最外密度和 Te 重新计算 `pedge`，因此覆盖用户给定的 `pedge`，再平移总压力使最外离子温度达到目标。仿星器：不使用 GS
expn,real,0.,Density profile = p^expn；托卡马克：未读入 ne 时密度随压力的幂指数；0 给常密度，非零构造近似 `n∝p^expn`，可叠加 `den_edge`。直接 gfile 投影也用它从投影压力构造初始密度；它不进入静态无旋转 GS 方程。仿星器：GS 不使用
q0,real,1.,托卡马克：非约束解析 GS 中目标轴上安全因子，用于计算 `gamma2`；完整 gfile/profile p-F 约束或 `nv1equ=1` 时不再用它调解。仿星器：不使用
sigma0,real,0.,"托卡马克：初始等离子体电流猜测的物理 R-Z 高斯宽度；0 使用位于 `xmag,zmag` 的 delta 电流，非零使用高斯。它只影响 GS 初猜，不是最终电流剖面宽度。仿星器：不使用"
djdpsi,real,0.,托卡马克：非约束解析 GS 的目标轴上环向电流对实际磁通的导数，通过 `gamma3` 调节额外 FF' 基函数；完整剖面约束或 `nv1equ=1` 时不生效。仿星器：不使用
th_gs,real,0.8,Implicitness of GS Picard iterations；托卡马克：从第二个已求解迭代起的 Picard 松弛权重，`psi_new=th_gs*psi_solved+(1-th_gs)*psi_old`；通常应在 0 到 1 之间。仿星器：不使用
tol_gs,real,1.e-8,托卡马克：第二轮以后 GS 解变化误差 `error2` 的提前停止阈值；约束剖面的残差另用于输出/诊断，但退出判断仍看 `error2`。仿星器：不使用
psiscale,real,1.,托卡马克：当前程序只检查大于 1 时把它重置为 1，之后没有活动计算使用；不能依靠它缩放或截取磁通剖面，相关用户作用实际由 `psifrac` 完成。仿星器：不使用
pscale,real,1.,Factor multiplying pressure profile；托卡马克：在剖面来源确定后统一乘 p 与 p'；随后 `profile_pscale`、边缘压力/温度设置仍可进一步修改。仿星器：不经过 GS；固定 VMEC 压力覆盖不使用本开关
bscale,real,1.,Factor multiplying toroidal field profile；托卡马克：统一缩放 F=R Bphi 的幅值；内部对 g=(F^2-Fedge^2)/2 与 FF' 乘 `bscale^2`，对 `bzero` 乘 `bscale`，随后仍可应用 `bpscale/profile_bscale`。仿星器：不使用
batemanscale,real,1.,Bateman scaling factor for TF (keeping current density fixed)；托卡马克：gfile 路径的 Bateman 环向场缩放，目标是在改变 F/Bphi 时保持给定 FF' 或电流源关系；与 `igs_pp_ffp_rescale` 的组合决定是在读入时重构 F，还是在 GS 后缩放 `bzero`。仿星器：不使用
bpscale,real,1.,Factor multiplying F' (keeping F0 constant)；托卡马克：在保持边缘 `F0=bzero*rzero` 不变的条件下缩放 F 的偏离量，从而一致更新 g 与 FF'；不是简单给整个 Bphi 乘常数。仿星器：不使用
iread_bscale,integer,0,"1: read profile_bscale for factor to scale F；托卡马克：1 读取两列 `profile_bscale(psi_N,scale)`，逐点乘 F 后重新计算 g 与 FF'；它在常数 `bscale/bpscale` 之后执行。仿星器：不使用"
iread_pscale,integer,0,"1: read profile_pscale for factor to scale p and p'；托卡马克：1 读取两列 `profile_pscale(psi_N,scale)`，令 p→pS，并按乘积法则令 p'→p'S+pS'；在常数 `pscale` 之后执行。仿星器：不使用"
vscale,real,1.,Factor multiplying toroidal rotation profile；托卡马克：`irot!=0` 时统一乘读入或解析的基础环向角频率，之后才加入可选电子/E×B 抗磁换算。仿星器：VMEC/外场初始化不读取 GS 转动剖面
gs_vertical_feedback,real array,0.,Proportional feedback of each coil to vertical displacements；托卡马克：`idevice=-1` 时按线圈组给出的磁轴 Z 误差比例反馈系数数组；索引对应 `coil.dat` 的 coil group，电流在每轮 GS 后更新。仿星器：不使用；数组长度/上限：2000
gs_radial_feedback,real array,0.,Proportional feedback of each coil to radial displacements；托卡马克：`idevice=-1` 时按线圈组给出的磁轴 R 误差比例反馈系数数组，与 `xmag-xmag0` 相乘。仿星器：不使用；数组长度/上限：2000
gs_vertical_feedback_i,real array,0.,Integral feedback of each coil to vertical displacements；托卡马克：磁轴 Z 误差的积分反馈系数数组；误差逐 GS 迭代累加，不含时间步长。仿星器：不使用；数组长度/上限：2000
gs_radial_feedback_i,real array,0.,Integral feedback of each coil to radial displacements；托卡马克：磁轴 R 误差的积分反馈系数数组；误差逐 GS 迭代累加，不含时间步长。仿星器：不使用；数组长度/上限：2000
gs_vertical_feedback_x,real array,0.,Proportional feedback of each coil to vertical displacements；托卡马克：X 点 Z 误差的比例线圈反馈系数数组；仅 `idevice=-1`、X 点反馈数组非零且迭代次数大于 10 时生效。仿星器：不使用；数组长度/上限：2000
gs_radial_feedback_x,real array,0.,Proportional feedback of each coil to radial displacements；托卡马克：X 点 R 误差的比例线圈反馈系数数组；与 `xnull-xnull0` 相乘，迭代次数必须大于 10。仿星器：不使用；数组长度/上限：2000
gs_vertical_feedback_x_i,real array,0.,Integral feedback of each coil to vertical displacements；托卡马克：X 点 Z 误差的积分反馈系数数组；从第 11 次迭代起累计。仿星器：不使用；数组长度/上限：2000
gs_radial_feedback_x_i,real array,0.,Integral feedback of each coil to radial displacements；托卡马克：X 点 R 误差的积分反馈系数数组；从第 11 次迭代起累计。仿星器：不使用；数组长度/上限：2000
irot,integer,0,"Include toroidal rotation；托卡马克：0 不把环向旋转纳入平衡；1 采用 `p(R,psi)=p0(psi) exp[alpha(psi)(R^2-rzero^2)/rzero^2]` 修改 GS 压力源并输出转动场。其它非零值会建立转动场，但只有等于 1 才进入该旋转 GS 公式。仿星器：不使用 GS 转动平衡"
iscale_rot_by_p,integer,1,"0: omega^2 = 2.*p0*(alphai * Psi^i)/n0； 1: omega^2 = 2.*(alphai * Psi^i)/n0, 2: omega^2 = 2.*(alphai * Psi^i), alphai = a0 + a1*exp(-((psii-a2)/a3)**2)；托卡马克：只在未读入转动文件时选择解析转动参数化。0 先令 alpha 多项式乘 n/p；1 直接用多项式并把边缘 omega 减到 0；2 使用高斯 alpha 后乘 n/p。仿星器：不使用"
alpha0,real,0.,Constant term in analytic rotation profile；托卡马克：解析 alpha 剖面的常数项；`iscale_rot_by_p=2` 时为高斯背景项。只有 `irot!=0` 且未读转动文件时使用。仿星器：GS 不使用；其它测试平衡可能复用该全局量
alpha1,real,0.,Linear term in analytic rotation profile；托卡马克：解析 alpha 剖面的一次项；模式 2 时为高斯幅值。仿星器：GS 不使用
alpha2,real,0.,Quadratic term in analytic rotation profile；托卡马克：解析 alpha 剖面的二次项；模式 2 时为高斯中心 `psi_N`。仿星器：GS 不使用
alpha3,real,0.,Cubic term in analytic rotation profile；托卡马克：解析 alpha 剖面的三次项；模式 2 时为高斯宽度且不可为 0。仿星器：GS 不使用
idenfunc,integer,0,托卡马克：选择 GS 后的平衡密度重写方式。0/4 保留 GS/profile 建立的密度；1 用磁通外侧 tanh 台阶，2 在 `den0` 与 `den_edge` 间作 tanh 过渡，3 在场评价中按磁通与梯度方向区分核心/外侧；程序还实现 20 及专用 21。它不改变无旋转 GS 磁通。仿星器：VMEC/外场可经过通用密度重写，但 1-3 的磁通判据面向托卡马克，不建议直接套用
den_edge,real,0.,托卡马克：未读取 ne 时的外侧密度；大于 0 可加到压力幂律剖面或作为 `idenfunc=2/3` 的外侧值。与非零 `iread_ne` 冲突；与 `pedge`、`tedge` 三者不能同时显式设置。仿星器：通用密度/输运代码可能复用，但不属于 VMEC 平衡求解
den0,real,1.,托卡马克：解析密度的核心幅值；`expn=0` 时 GS 剖面为常数 den0，`idenfunc` 1/2/3 又把它作为核心/台阶幅值。仿星器：可能用于固定 VMEC 无外部密度文件时的默认密度，但不进入 GS
dendelt,real,0.1,托卡马克：`idenfunc=1/2` 的归一化磁通 tanh 过渡宽度；越小过渡越尖，需要相应网格分辨率。仿星器：不建议用于 VMEC 逻辑域的物理壁定义
denoff,real,1.,托卡马克：`idenfunc=1/2/3` 的归一化磁通偏移位置；1/2 决定 tanh 中心，3 决定核心判据阈值。仿星器：不建议作为 VMEC 边界定义
divertors,integer,0,"托卡马克：generic/线圈真空场中额外电流丝数；0 无，1 在 `xdiv,zdiv`，2 再在 `xdiv,-zdiv` 放置对称电流丝。它不是 X 点数量开关。仿星器：不使用"
xdiv,real,0.,托卡马克：附加 divertor 电流丝的物理 R 坐标，仅 `divertors>=1` 使用。仿星器：不使用
zdiv,real,0.,托卡马克：第一附加 divertor 电流丝的物理 Z 坐标；`divertors=2` 时第二根位于其相反 Z。仿星器：不使用
divcur,real,0.1,托卡马克：每根附加 divertor 电流丝相对 `tcuro` 的电流比例，实际线圈源用 `tcuro/(2pi)*divcur`。仿星器：不使用
xnull,real,0.,Guess for R-coordinate of active x-point；托卡马克：X 点 #1 的物理 R 初猜；大于 0 才启用。搜索前可只在该点取磁通，搜索启动后在附近找鞍点，并把所得磁通作为 LCFS 候选。仿星器：不使用
znull,real,0.,Guess for Z-coordinate of axtive x-point；托卡马克：X 点 #1 的物理 Z 初猜，与 `xnull>0` 配套。仿星器：不使用
mod_null_rs,integer,0,"if 1, you can modify xnull,znull at restart；托卡马克 restart：0 用 restart 文件保存的 X 点 #1 坐标覆盖 C1input；1 保留本次 C1input 中的 `xnull/znull`。新启动 GS 不受此开关影响。仿星器：通常不使用"
xnull2,real,0.,Guess for R-coordinate of inactive x-point；托卡马克：X 点 #2 的物理 R 初猜；大于 0 时与第一个 X 点同样搜索并参与 LCFS 候选比较，程序不会强制它保持 inactive。仿星器：不使用
znull2,real,0.,Guess for Z-coordinate of inaxtive x-point；托卡马克：X 点 #2 的物理 Z 初猜，与 `xnull2>0` 配套。仿星器：不使用
mod_null_rs2,integer,0,"if 1, you can modify xnull2,znul2l at restart；托卡马克 restart：0 用 restart 文件坐标覆盖 X 点 #2 输入；1 保留本次 C1input 的 `xnull2/znull2`。仿星器：通常不使用"
gs_pf_psi_width,real,0.,Width of psi smoothing into private flux region；托卡马克：私有磁通区把归一化磁通镜像到 LCFS 外侧时的 tanh 平滑宽度；0 使用尖锐镜像，正值使转接平滑。只影响 private-flux 剖面取样。仿星器：不使用
xnull0,real,0.,Target R-coordinate of x-point for feedback；托卡马克：`idevice=-1` X 点线圈反馈的目标 R；X 点反馈数组非零而本值为 0 时自动取初始 `xnull`，实际反馈从第 11 轮开始。仿星器：不使用
znull0,real,0.,Target Z-coordinate of x-point for feedback；托卡马克：X 点线圈反馈的目标 Z，与 `xnull0` 配套。仿星器：不使用
adapt_qs,real array,0.,Safety factor values to pack around；托卡马克：尽管程序把它注册在 GS 参数组，实际属于 Mesh Adaptation；给出要加密的安全因子 q 值数组，需启用自适应及 q 打包逻辑。仿星器：没有由 GS 生成的轴对称 q 面，通常不使用；数组长度/上限：32
adapt_zlow,real,0.,Z-coordinate below which SOL adaptation is coarse；托卡马克：实际属于 Mesh Adaptation；非零时把 Z 小于该值的 SOL 区域标为粗化候选，不参与 GS 方程。仿星器：逻辑/物理坐标适用性需单独验证
adapt_zup,real,0.,Z-coordinate above which SOL adaptation is coarse；托卡马克：实际属于 Mesh Adaptation；非零时把 Z 大于该值的 SOL 区域标为粗化候选，不参与 GS 方程。仿星器：逻辑/物理坐标适用性需单独验证
numvar,integer,3,1: 2-Field; 2: 4-Field; 3: 6-Field；1: 2-field；2: 4-field/reduced MHD；3: 6-field/compressible MHD
linear,integer,0,1: Use linearized equations；0 非线性；1 线性化方程。2D 非线性通常需 RL=1；线性/complex 需 COM=1 且 `nplanes=1`
eqsubtract,integer,0,1: Subtract equilibrium fields；托卡马克与仿星器：在时间演化方程中扣除已初始化的平衡场，使 0 层作为参考基态；线性模拟会在校验阶段强制为 1。它不改变平衡读取和投影结果
extsubtract,integer,0,"1: Subtract fields from non-axisymmetric coils；托卡马克：1 把 RMP/error field 保存为独立外场，而不是直接写入扰动场。仿星器：`itaylor=41,type_ext_field=2` 必须为 1，程序先读 total field，再读 external field，并把 total-external 作为动态场"
icsubtract,integer,0,1: Subtract fields from poloidal field coils；托卡马克：1 把 PF 线圈磁通与等离子体磁通分开保存；求总磁场/磁区时仍会重新相加。0 直接把线圈磁通加入 `psi_field(0)`。仿星器：没有对应的 VMEC 线圈分解路径，通常保持 0
idens,integer,0,1: Include density equation
ipres,integer,0,1: Include total pressure equation
ipressplit,integer,0,1: Separate pressure solves from field solves；仅 `isplitstep=1` 且 `numvar=3` 时允许；把压力/温度求解从场求解分离
itemp,integer,0,1: Advance Temperatures rather than Pressures；1 时推进温度而不是压力；要求 `ipressplit=1`，且 `z_ion` 必须为 1
iadiabat,integer,1,1: Correct itemp=1 for time-varying density
gyro,integer,0,1: Include Braginskii gyroviscosity
igauge,integer,0,选择矢势规范相关的数值处理。当前活动方程只在非零时加入规范约束/稳定项；常规算例保持 0。托卡马克与仿星器使用同一场表示
inertia,integer,1,1: Include V.Grad(V) terms
itwofluid,integer,1,"1: -electron 2F, 2: ion 2F"
ibootstrap,integer,0,托卡马克：0 关闭；1 按 psi 读取 bootstrap 系数，2 按 Te，3 按 `1-Te/Temax` 并使用扩展系数文件。它在平衡完成后的磁通/环向场演化方程中加入 bootstrap 项，不覆盖初始电流。仿星器：没有专用 VMEC/ST bootstrap 初始化，除非已验证模型与系数，否则保持 0
irunaway,integer,0,非零时增加 runaway-electron 密度场及其电流耦合；需要同时设置 `cre/radiff/rjra` 等参数。两种装置使用同一演化方程，但初始场和磁场几何来自各自平衡
cre,integer,0,runaway-electron 沿磁场特征线的传播速度输入，读入后按速度归一化换算；仅 `irunaway!=0` 使用
ra_cyc,integer,1,每个 MHD 时间步内 runaway 特征线/粒子推进的子循环次数；增大它可缩短 runaway 子步而不改变 MHD 的 `dt`
radiff,real,0.,runaway-electron 密度方程的扩散系数，进入 `div(radiff grad(n_RE))`；仅 `irunaway!=0` 使用
rjra,real,1.,runaway 电流反馈到广义 Ohm 定律/总电流时的幅值系数；1 使用模型电流，0 去掉该反馈
ra_characteristics,integer,0,1: Use the method of characteristics to advance the RE advection equation
bzsign,real,0.,runaway 平行传播方向所用的背景环向磁场符号；0 时由初始磁场自动判断，显式正负值用于覆盖自动结果
imp_bf,integer,0,1: Include implicit equation for f
imp_temp,integer,0,1: Include implicit equation for temperature
nosig,integer,0,非零时抑制密度源 `sigma` 对部分动量/温度方程的伴随项；用于源项模型诊断，不会关闭密度方程中的粒子源本身
itor,integer,0,1: Use toroidal geometry
iohmic_heating,integer,1,1: Include Ohmic heating
irad_heating,integer,1,1: Include radiation heat source
gravr,real,0.,R 方向的恒定体加速度，作为密度乘以加速度的动量源；0 表示无该外力。托卡马克和映射后的仿星器均使用物理柱坐标 R
gravz,real,0.,Z 方向的恒定体加速度，作为密度乘以加速度的动量源；0 表示无该外力
istatic,integer,0,1: Do not advance velocity fields
iestatic,integer,0,1: Do not advance magnetic fields
chiiner,real,1.,六场模型中压缩速度势 `chi` 的惯性项乘子；1 为完整项，减小它可改变压缩分量的数值时间尺度
ieq_bdotgradt,integer,1,决定温度方程平行导热是否保留平衡场的 `B dot grad(T)` 贡献；用于平衡减除/线性化时控制平衡项
iwall_is_limiter,integer,1,1 = Wall acts as limiter
no_vdg_T,integer,0,1: do not include V dot grad T in Temp equation (debug)
ibootstrap_model,integer,0,"1: J_BS = alpha F <p,psi> B；托卡马克：1/3 选 Sauter-Angioni，2/4 选 Redl，3/4 为简化方程实现，5 为 constant-Lambda；应与非零 `ibootstrap` 配套。`ibootstrap=3` 配模型 1/3 当前会停止。仿星器：没有专用三维 bootstrap 平衡闭合；选择 bootstrap closure：1/3 为 Sauter & Angioni，2/4 为 Redl，5 为 constant-Lambda 分支"
bootstrap_alpha,real,0.,alpha parameter in bootstrap current model；托卡马克：bootstrap 项的统一幅值乘子，默认 0；打开 `ibootstrap/model` 后仍需给非零值才有驱动。仿星器：仅在自行验证并启用同一演化闭合时有意义
ibootstrap_regular,real,1e-8,Regularization parameter Default=1e-8；托卡马克：bootstrap 计算中小 Bp、温度梯度和归一化温度的正则化尺度，默认 `1e-8`，不表示电流比例。仿星器：只有启用并验证 bootstrap 路径时使用
kinetic,integer,0,"1: Use kinetic PIC; 2: CGL incompressible; 3: CGL；1: kinetic PIC hot ion pressure；2: incompressible CGL；3: full CGL。2/3 要求 linear=1,isplitstep=0,ipres=1,itemp=0,ipressplit=0"
ivisfunc,integer,0,选择各向同性粘性空间模型：0 常数；1/2 磁通 tanh 边缘层；3/4 预计算场；10/11 读 `profile_amu`；12 专用 basicJ；21 为 USEST 逻辑 rho 模型
amuoff,real,0.,`ivisfunc=1/2/21` 的粘性过渡位置；1/2 使用归一化磁通坐标，21 使用逻辑 rho
amudelt,real,0.,输运系数相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
amuoff2,real,0.,`ivisfunc=2` 第二个 tanh 过渡中心；只有它与 `amudelt2` 都非零时才加入第二层
amudelt2,real,0.,输运系数相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
amu,real,0.,Isotropic viscosity
amuc,real,0.,Compressional viscosity
amue,real,0.,电子/自举电流闭合使用的粘性系数；不代替流体动量方程的 `amu`
amupar,real,0.,Parallel viscosity
amu_edge,real,0.,粘性边缘增量或外侧幅值，配合 `ivisfunc=1/2/21`；最终各向同性粘性还包含基值 `amu`
amu_wall,real,0.,靠近 wall-distance 场时附加的粘性幅值；按 `amu_wall_off/amu_wall_delt` 的 tanh 层叠加到其它粘性模型
amu_wall_off,real,0.,壁面附加粘性层在 wall-distance 坐标中的中心位置
amu_wall_delt,real,0.1,输运系数相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
iresfunc,integer,0,选择 plasma zone 电阻率模型：0 Spitzer 型；1 磁通 tanh；2-4 预计算场；5 简化新古典；10/11 读 `profile_eta`；21 为 USEST 逻辑 rho 模型。conductor/vacuum zone 不用此开关
etaoff,real,0.,电阻率 tanh 过渡位置；`iresfunc=1` 使用磁通，`iresfunc=21` 使用逻辑 rho
etadelt,real,0.,输运系数相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
etar,real,0.,Isotropic resistivity
eta0,real,0.,温度依赖或 tanh 电阻率的幅值；`iresfunc=0` 中形成 `eta0(Te-eta_te_offset)^(-3/2)`
eta_fac,real,1.,Uniform resistivity multiplier
eta_mod,integer,0,1 = remove d/dphi terms in resistivity
eta_te_offset,real,0.,Offset in Te when calculating eta
ikprad_te_offset,integer,0,"If 1, eta_te_offset also applied to kprad"
eta_max,real,0.,Maximum value of resistivity in the plasma region；若 <=0，校验阶段置为 `eta_vac`；`eta_max<=0` 时改为 `eta_vac`
eta_min,real,0.,Minimum value of resistivity in the plasma region；若 <=0，校验阶段置为 0；`eta_min<=0` 时改为 0
ikappafunc,integer,0,选择各向同性热输运模型：0 温度依赖；1/2 磁通 tanh；3 反比于 `sqrt(p n)`；4 梯度依赖；5 预计算场；10/11 读 `profile_kappa`；12 专用模型；21 为 USEST 逻辑 rho
ikapparfunc,integer,0,选择平行热导：0 常数 `kappar`；1 用 `tcrit` 低温抑制；2 使用按 `Te^(5/2)` 计算并受上下限约束的预计算场
ikapscale,integer,0,1 时令平行热导场按局部各向同性 `kappa` 缩放，即使用 `kappar*kappa(x)`；0 时按 `ikapparfunc` 单独构造
ikappar_ni,integer,1,Include 1/n terms in parallel heat flux
kappaoff,real,0.,`ikappafunc=1/2/21` 的热导 tanh 过渡中心；坐标分别为磁通或 USEST 逻辑 rho
kappadelt,real,0.,输运系数相关宽度/方差参数，用于定义剖面过渡层、Gaussian 分布或数值平滑尺度
kappat,real,0.,Isotropic thermal conductivity
kappa0,real,0.,所选各向同性热导函数的可变部分幅值；最终系数通常还加常数 `kappat`
kappar,real,0.,Parallel thermal conductivity
kappari_fac,real,1.,Ion parallel thermal conductivity factor
tcrit,real,0.,`ikapparfunc=1` 的低温转折温度，平行热导为 `kappar/[1+(tcrit/Te)^(5/2)]`
k_fac,real,1.,multiplies toroidal field in denominator of PTC
kappax,real,0.,交叉场热输运系数；普通 CPU、非 USEPARTICLES 方程中耦合压力与环向磁场，GPU 对应块被注释，USEPARTICLES 路径也排除该项
kappah,real,0.,在各向同性热导上附加边界层 `kappah*tanh^2[(psi_N-1)/0.2]`；`ikappafunc=5` 时不加
kappag,real,0.,Thermal diffusion proportional to pressure gradient；CPU 压力方程中的非线性梯度热流系数，形式含 `-kappag*|grad(p)|^2 grad(p)` 与阈值补偿项；GPU 对应块被注释。当前阈值掩码实际比较 `p^2` 与 `gradp_crit^2`
kappaf,real,1.,Factor to multiply kappa when grad(p) < gradp_crit
gradp_crit,real,0.,Critical pressure gradient in kappag/kappaf models
kappa_max,real,0.,Maximum value of kappa in the plasma region；若 <=0，校验阶段置为 `kappar`；`kappa_max<=0` 时改为 `kappar`
kappar_max,real,0.,Maximum value of kappa in the plasma region；若 <=0，校验阶段置为 `kappar`；`kappar_max<=0` 时改为 `kappar`
kappar_min,real,0.,Maximum value of kappa in the plasma region；若 <=0，校验阶段置为 `kappar`；`kappar_min<=0` 时改为 `kappar`
temin_qd,real,0.,Min. Temp. used in Equipartition term for ipres=1
kappai_fac,real,1.,Factor to multiply kappa when evaluating ion perp. thermal diffusivity
idenmfunc,integer,0,选择主离子密度扩散：0 常数 `denm`；1 使用预计算温度依赖场并限幅；10/11 从 `profile_denm` 读 SI/归一化剖面
denm,real,0.,Density diffusion coefficient
denmt,real,0.,Temperature dependent density diffusion coefficient
denmmin,real,0.,Minimum density diffusion coefficient
denmmax,real,1.e6,Maximum density diffusion coefficient
deex,real,1.,超扩散的参考长度/网格尺度；当 `ihypdx!=0` 时所有 hyper 输入乘 `deex^ihypdx`
hyper,real,0.,磁通/极向磁场方程的超电阻率系数，抑制高波数电流结构；0 关闭该项
hyperc,real,0.,压缩/极向速度势方程的超粘性系数；只在相应速度未知量存在时生效
hyperi,real,0.,环向磁场未知量的超扩散系数；`numvar>=2` 才有对应场
hyperp,real,0.,压力或温度方程的超扩散系数；需要实际推进压力/温度未知量
hyperv,real,0.,环向速度方程的超粘性系数；`numvar>=2` 且速度未冻结时使用
ihypdx,integer,0,hyper 系数的长度缩放指数：0 不缩放，非零时 `lambda_eff=lambda_input*deex^ihypdx`。当前默认 0
ihypeta,integer,1,磁超扩散的空间乘子：0 常数；1 乘电阻率；2 乘压力；大于 2 使用压力与指定磁扰动谐波构造乘子，并要求不超过 `ibh_harmonics`
ihypkappa,integer,1,1 时压力/温度 hyper 系数乘局部热导率，0 时保持输入常数
imp_hyper,integer,0,1: implicit hyper-resistivity in psi equation
isurface,integer,1,控制分部积分后 Galerkin 弱式中的外边界表面积分；1 保留，0 去掉。它不选择边界位置，位置来自 mesh/model 分类
icurv,integer,2,边界几何曲率处理阶数/开关；大于 0 时使用曲边几何信息，常规高阶曲边网格保持默认 2
nonrect,integer,1,1 表示非矩形/一般边界并关闭矩形快捷假设；0 仅适合边界拓扑确为规则矩形的测试网格
ifixedb,integer,0,1: Force psi=0 on boundary；托卡马克：GS 外边界开关；大于等于 1 时把计算域外边界磁通置 0，0 时使用已建立的 plasma/PF 线圈真空场边界值并允许 LCFS 在域内更新。仿星器：VMEC/外场初始化不通过它选择固定或自由边界
com_bc,integer,0,1 时给压缩速度势 `chi` 增加 `nabla^2 chi=0` 的边界约束
vor_bc,integer,0,1 时给极向速度势 `U` 增加 `Delta* U=0` 的涡量边界约束
iconst_p,integer,1,1: Hold pressure constant on boundary
iconst_n,integer,1,1: Hold density constant on boundary
iconst_t,integer,1,1: Hold temperature constant on boundary
iconst_bn,integer,1,1: Hold normal field constant on boundary
iconst_bz,integer,0,1: Hold toroidal field constant on boundary
inograd_p,integer,0,1 对压力施加零法向梯度 Neumann 条件；不要与同一压力场的固定值条件重复指定
inograd_t,integer,0,1 对温度施加零法向梯度 Neumann 条件
inograd_n,integer,0,1 对主离子密度施加零法向梯度 Neumann 条件
inonormalflow,integer,1,1: No-normal-flow boundary condition
inoslip_pol,integer,1,1: No-slip boundary condition on pol. velocity
inoslip_tor,integer,1,1: No-slip boundary condition on tor. velocity
inostress_tor,integer,0,1 对环向速度施加零法向导数/无切向应力条件；与 `inoslip_tor=1` 是不同选择
inocurrent_pol,integer,0,1 通过环向磁场变量的法向导数约束使边界极向电流为零
inocurrent_tor,integer,0,1 通过 `Delta*psi=0` 型边界约束使环向电流为零
inocurrent_norm,integer,0,1 对三维磁场变量施加组合边界条件，使法向电流为零；会改变 `psi/bz` 的边界掩码组合
ifbound,integer,-1,"Boundary condition on 'f' field. 1 = Dirichlet, 2 = Neumann；-1 表示校验后按编译版本设置：complex 为 2，real 为 1；`ifbound=-1` 时，complex 版本默认 2，real 版本默认 1"
iconstflux,integer,0,非线性推进中重新缩放环向磁场以保持总环向磁通；0 不做该全局修正
iper,integer,0,1: Periodic boundary condition in R direction
jper,integer,0,1: Preiodic boundary condition in Z direction
tebound,real,-1.,大于 0 时，在标记为 first-wall 的边界把电子温度固定为该归一化值；负值保留初始边界值
tibound,real,-1.,大于 0 时，在 first-wall 边界把离子温度固定为该归一化值；仅双温模型有独立作用
eta_wall,real,1e-3,Resistivity of conducting wall region
eta_wallRZ,real,-1.,Resistivity of conducting wall region；-1 表示校验后取 `eta_wall`；`eta_wallRZ<0` 时改为 `eta_wall`
eta_vac,real,1.,Resistivity of vacuum region
iwall_breaks,integer,0,Number of wall break regions
eta_break,real array,1.,Resistivity of wall break；数组长度/上限：20
wall_break_xmin,real array,0.,Minimum x coordinate for wall break；数组长度/上限：20
